,holding,total
1995-01-02,[],0
1995-01-09,[],0
1995-01-16,[],0
1995-01-23,[],0
1995-01-30,[],0
1995-02-06,[],0
1995-02-13,[],0
1995-02-20,[],0
1995-02-27,[],0
1995-03-06,[],0
1995-03-13,[],0
1995-03-20,[],0
1995-03-27,[],0
1995-04-03,[],0
1995-04-10,[],0
1995-04-17,[],0
1995-04-24,[],0
1995-05-01,[],0
1995-05-08,[],0
1995-05-15,[],0
1995-05-22,[],0
1995-05-29,[],0
1995-06-05,[],0
1995-06-12,[],0
1995-06-19,[],0
1995-06-26,[],0
1995-07-03,[],0
1995-07-10,[],0
1995-07-17,[],0
1995-07-24,[],0
1995-07-31,[],0
1995-08-07,[],0
1995-08-14,[],0
1995-08-21,[],0
1995-08-28,[],0
1995-09-04,[],0
1995-09-11,[],0
1995-09-18,[],0
1995-09-25,[],0
1995-10-02,[],0
1995-10-09,[],0
1995-10-16,[],0
1995-10-23,[],0
1995-10-30,[],0
1995-11-06,[],0
1995-11-13,[],0
1995-11-20,[],0
1995-11-27,[],0
1995-12-04,[],0
1995-12-11,[],0
1995-12-18,[],0
1995-12-25,[],0
1996-01-01,[],0
1996-01-08,[],0
1996-01-15,[],0
1996-01-22,[],0
1996-01-29,[],0
1996-02-05,[],0
1996-02-12,[],0
1996-02-19,[],0
1996-02-26,[],0
1996-03-04,[],0
1996-03-11,[],0
1996-03-18,[],0
1996-03-25,[],0
1996-04-01,[],0
1996-04-08,[],0
1996-04-15,[],0
1996-04-22,[],0
1996-04-29,[],0
1996-05-06,[],0
1996-05-13,[],0
1996-05-20,[],0
1996-05-27,[],0
1996-06-03,[],0
1996-06-10,[],0
1996-06-17,[],0
1996-06-24,[],0
1996-07-01,[],0
1996-07-08,[],0
1996-07-15,[],0
1996-07-22,[],0
1996-07-29,[],0
1996-08-05,[],0
1996-08-12,[],0
1996-08-19,[],0
1996-08-26,[],0
1996-09-02,[],0
1996-09-09,[],0
1996-09-16,[],0
1996-09-23,[],0
1996-09-30,[],0
1996-10-07,[],0
1996-10-14,[],0
1996-10-21,[],0
1996-10-28,[],0
1996-11-04,[],0
1996-11-11,[],0
1996-11-18,[],0
1996-11-25,[],0
1996-12-02,[],0
1996-12-09,[],0
1996-12-16,[],0
1996-12-23,[],0
1996-12-30,[],0
1997-01-06,[],0
1997-01-13,[],0
1997-01-20,[],0
1997-01-27,[],0
1997-02-03,[],0
1997-02-10,[],0
1997-02-17,[],0
1997-02-24,[],0
1997-03-03,[],0
1997-03-10,[],0
1997-03-17,[],0
1997-03-24,[],0
1997-03-31,[],0
1997-04-07,[],0
1997-04-14,[],0
1997-04-21,[],0
1997-04-28,[],0
1997-05-05,[],0
1997-05-12,[],0
1997-05-19,[],0
1997-05-26,[],0
1997-06-02,[],0
1997-06-09,[],0
1997-06-16,[],0
1997-06-23,[],0
1997-06-30,[],0
1997-07-07,[],0
1997-07-14,[],0
1997-07-21,[],0
1997-07-28,[],0
1997-08-04,[],0
1997-08-11,[],0
1997-08-18,[],0
1997-08-25,[],0
1997-09-01,[],0
1997-09-08,[],0
1997-09-15,[],0
1997-09-22,[],0
1997-09-29,[],0
1997-10-06,[],0
1997-10-13,[],0
1997-10-20,[],0
1997-10-27,[],0
1997-11-03,[],0
1997-11-10,[],0
1997-11-17,[],0
1997-11-24,[],0
1997-12-01,[],0
1997-12-08,[],0
1997-12-15,[],0
1997-12-22,[],0
1997-12-29,[],0
1998-01-05,[],0
1998-01-12,[],0
1998-01-19,[],0
1998-01-26,[],0
