Date,holding,total
1995-01-06,[],100
1995-01-13,[],100
1995-01-20,[],100
1995-01-27,[],100
1995-02-03,[],100
1995-02-10,[],100
1995-02-17,[],100
1995-02-24,[],100
1995-03-03,[],100
1995-03-10,[],100
1995-03-17,[],100
1995-03-24,[],100
1995-03-31,[],100
1995-04-07,[],100
1995-04-14,[],100
1995-04-21,[],100
1995-04-28,[],100
1995-05-05,[],100
1995-05-12,[],100
1995-05-19,[],100
1995-05-26,[],100
1995-06-02,[],100
1995-06-09,[],100
1995-06-16,[],100
1995-06-23,[],100
1995-06-30,[],100
1995-07-07,[],100
1995-07-14,[],100
1995-07-21,[],100
1995-07-28,[],100
1995-08-04,[],100
1995-08-11,"[('BIIB', 1.170719027519226, 17.083518359123577), ('CAMP', 6.938000202178955, 2.8826750385102007), ('CECE', 5.531000137329102, 3.6159825535021453), ('BSRR', 6.0, 3.3333333333333335), ('TWX', 3.859149932861328, 5.182488461952864)]",100
1995-08-18,"[('AMSWA', 6.625, 0.6470569522536275), ('ANEN', 2.25, 1.9052232483023477), ('BIIB', 1.170719027519226, 3.661640588317749), ('BIOL', 14.900041580200195, 0.2877006943642828), ('CAMP', 6.938000202178955, 0.6178656938254312), ('CECE', 5.531000137329102, 0.7750410779686471), ('CRUS', 52.375, 0.08184729944974285), ('CSCO', 3.67300009727478, 1.167098337912074), ('COHU', 16.375, 0.26178640053009355), ('DAR', 10.0, 0.4286752308680282), ('DIOD', 3.012666940689087, 1.4229094662882893), ('DY', 3.3329999446868896, 1.2861543293793816), ('PERY', 9.555333137512209, 0.4486240560102926), ('HXL', 11.25, 0.3810446496604695), ('IIVI', 2.0160000324249268, 2.126365198280281), ('PRKR', 107.5, 0.03987676566214216), ('PLAB', 20.125, 0.21300632589715687), ('SMTC', 2.907000064849853, 1.4746309642417204), ('BSRR', 6.0, 0.7144587181133804), ('TER', 20.65699958801269, 0.20752056901661048), ('TWX', 4.415264129638672, 0.9708937410797875), ('VECO', 24.0, 0.1786146795283451), ('VSEC', 2.650000095367432, 1.6176423224188257), ('WM', 21.625, 0.1982313206326142)]",102
1995-08-25,"[('ATVI', 1.1769989728927612, 2.612505441176357), ('ALKS', 3.437999963760376, 0.8943909986485502), ('AMSWA', 6.875, 0.44726054122782866), ('ANEN', 2.2920000553131104, 1.3415864514546259), ('BIIB', 1.112689971923828, 2.763497738390531), ('BIOL', 15.168745994567873, 0.20271393706786903), ('CAMP', 7.218999862670898, 0.42594767688548746), ('CECE', 5.375, 0.5720774364541995), ('CRUS', 56.5, 0.054423295945864106), ('CSCO', 3.562999963760376, 0.8630132619187758), ('COHU', 15.25, 0.2016338505535293), ('COO', 5.063003063201904, 0.6073305077158512), ('DAR', 9.833000183105469, 0.3127139391520075), ('DIOD', 2.937999963760376, 1.0466018580223893), ('DY', 3.1670000553131104, 0.9709239555530464), ('PERY', 9.333333015441896, 0.3294553206077515), ('HXL', 11.0, 0.2795378382673929), ('IIVI', 2.094000101089477, 1.4684412953664563), ('JBL', 1.6799999475479126, 1.8303073315147393), ('MSCC', 3.25, 0.9461280679819453), ('NAVB', 12.0, 0.2562430184117768), ('PRKR', 102.5, 0.029999182643329972), ('PLAB', 18.625, 0.16509617293644682), ('PCYO', 1.562999963760376, 1.9673168856277328), ('REGN', 14.875, 0.20671705687000486), ('SMTC', 3.375, 0.9110862876863176), ('BSRR', 6.0, 0.5124860368235536), ('TER', 19.1879997253418, 0.16025204632873988), ('TWX', 4.12830114364624, 0.7448381583484637), ('VECO', 21.5, 0.14301935911354988), ('VSEC', 2.5999999046325684, 1.1826601283571465), ('WM', 21.0, 0.14642458194958677), ('MTCH', 9.538990020751951, 0.32235238890615053)]",101
