Date,holding
1995-01-06,[]
1995-01-13,[]
1995-01-20,[]
1995-01-27,[]
1995-02-03,[]
1995-02-10,[]
1995-02-17,[]
1995-02-24,[]
1995-03-03,[]
1995-03-10,[]
1995-03-17,[]
1995-03-24,[]
1995-03-31,[]
1995-04-07,[]
1995-04-14,[]
1995-04-21,[]
1995-04-28,[]
1995-05-05,[]
1995-05-12,[]
1995-05-19,[]
1995-05-26,[]
1995-06-02,[]
1995-06-09,[]
1995-06-16,[]
1995-06-23,[]
1995-06-30,[]
1995-07-07,[]
1995-07-14,[]
1995-07-21,[]
1995-07-28,[]
1995-08-04,[]
1995-08-11,[]
1995-08-18,[]
1995-08-25,[]
1995-09-01,[]
1995-09-08,"[('AXDX', 0.6399999856948853, 0)]"
1995-09-15,"[('AXDX', 0.6800000071525574, 0)]"
1995-09-22,"[('AXDX', 0.6800000071525574, 0)]"
1995-09-29,"[('AXDX', 0.5799999833106995, 0)]"
1995-10-06,"[('AXDX', 0.5600000023841858, 0)]"
1995-10-13,"[('AXDX', 0.5600000023841858, 0)]"
1995-10-20,"[('AXDX', 0.5199999809265137, -1)]"
1995-10-27,[]
1995-11-03,[]
1995-11-10,[]
1995-11-17,[]
1995-11-24,[]
1995-12-01,[]
1995-12-08,[]
1995-12-15,[]
1995-12-22,[]
1995-12-29,[]
1996-01-05,[]
1996-01-12,[]
1996-01-19,[]
1996-01-26,[]
1996-02-02,"[('AXDX', 0.959999978542328, 0)]"
1996-02-09,"[('AXDX', 1.0, 0)]"
1996-02-16,"[('AXDX', 1.399999976158142, 0)]"
1996-02-23,"[('AXDX', 1.4800000190734863, 0)]"
1996-03-01,"[('AXDX', 1.399999976158142, 0)]"
1996-03-08,"[('AXDX', 1.3600000143051147, 0)]"
1996-03-15,"[('AXDX', 1.399999976158142, 0)]"
1996-03-22,"[('AXDX', 1.5199999809265137, 0)]"
1996-03-29,"[('AXDX', 1.600000023841858, 0)]"
1996-04-05,"[('AXDX', 1.600000023841858, 0)]"
1996-04-12,"[('AXDX', 1.600000023841858, 0)]"
1996-04-19,"[('AXDX', 1.399999976158142, 0)]"
1996-04-26,"[('AXDX', 1.3600000143051147, 0)]"
1996-05-03,"[('AXDX', 1.399999976158142, 0)]"
1996-05-10,"[('AXDX', 3.252000093460083, 0)]"
1996-05-17,"[('AXDX', 3.752000093460083, 0)]"
1996-05-24,"[('AXDX', 3.752000093460083, 0)]"
1996-05-31,"[('AXDX', 3.5, 0)]"
1996-06-07,"[('AXDX', 3.5, 0)]"
1996-06-14,"[('AXDX', 3.5, 0)]"
1996-06-21,"[('AXDX', 3.5999999046325684, 0)]"
1996-06-28,"[('AXDX', 3.752000093460083, 0)]"
1996-07-05,"[('AXDX', 4.0, 0)]"
1996-07-12,"[('AXDX', 4.0, 0)]"
1996-07-19,"[('AXDX', 3.799999952316284, 0)]"
1996-07-26,"[('AXDX', 4.0, 0)]"
1996-08-02,"[('AXDX', 4.251999855041504, 0)]"
1996-08-09,"[('AXDX', 4.251999855041504, 0)]"
1996-08-16,"[('AXDX', 4.124000072479248, 0)]"
1996-08-23,"[('AXDX', 3.875999927520752, 0)]"
1996-08-30,"[('AXDX', 3.9600000381469727, 0)]"
1996-09-06,"[('AXDX', 4.251999855041504, 0)]"
1996-09-13,"[('AXDX', 4.480000019073486, 0)]"
1996-09-20,"[('AXDX', 5.5, 0)]"
1996-09-27,"[('AXDX', 5.875999927520752, 0)]"
1996-10-04,"[('AXDX', 5.5, 0)]"
1996-10-11,"[('AXAS', 8.5, 0), ('AXDX', 5.751999855041504, 0)]"
1996-10-18,"[('AXAS', 8.125, 0), ('AXDX', 8.5, 0)]"
