Date,holding,total
1995-01-06,[],100
1995-01-13,[],100
1995-01-20,[],100
1995-01-27,[],100
1995-02-03,[],100
1995-02-10,[],100
1995-02-17,[],100
1995-02-24,[],100
1995-03-03,[],100
1995-03-10,[],100
1995-03-17,[],100
1995-03-24,[],100
1995-03-31,[],100
1995-04-07,[],100
1995-04-14,[],100
1995-04-21,[],100
1995-04-28,[],100
1995-05-05,[],100
1995-05-12,[],100
1995-05-19,[],100
1995-05-26,[],100
1995-06-02,[],100
1995-06-09,[],100
1995-06-16,[],100
1995-06-23,[],100
1995-06-30,[],100
1995-07-07,[],100
1995-07-14,[],100
1995-07-21,[],100
1995-07-28,[],100
1995-08-04,[],100
1995-08-11,"[('BIIB', 1.170719027519226, 0), ('CAMP', 6.938000202178955, 0), ('CECE', 5.531000137329102, 0), ('BSRR', 6.0, 0), ('TWX', 3.859149932861328, 0)]",100
1995-08-18,"[('AMSWA', 6.625, 0), ('ANEN', 2.25, 0), ('BIIB', 1.170719027519226, 0), ('BIOL', 14.900041580200195, 0), ('CAMP', 6.938000202178955, 0), ('CECE', 5.531000137329102, 0), ('CRUS', 52.375, 0), ('CSCO', 3.67300009727478, 0), ('COHU', 16.375, 0), ('DAR', 10.0, 0), ('DIOD', 3.012666940689087, 0), ('DY', 3.3329999446868896, 0), ('PERY', 9.555333137512209, 0), ('HXL', 11.25, 0), ('IIVI', 2.0160000324249268, 0), ('PRKR', 107.5, 0), ('PLAB', 20.125, 0), ('SMTC', 2.907000064849853, 0), ('BSRR', 6.0, 0), ('TER', 20.65699958801269, 0), ('TWX', 4.415264129638672, 0), ('VECO', 24.0, 0), ('VSEC', 2.650000095367432, 0), ('WM', 21.625, 0)]",100
1995-08-25,"[('ATVI', 1.1769989728927612, 0), ('ALKS', 3.437999963760376, 0), ('AMSWA', 6.875, 0), ('ANEN', 2.2920000553131104, 0), ('BIIB', 1.112689971923828, 0), ('BIOL', 15.168745994567873, 0), ('CAMP', 7.218999862670898, 0), ('CECE', 5.375, 0), ('CRUS', 56.5, 0), ('CSCO', 3.562999963760376, 0), ('COHU', 15.25, 0), ('COO', 5.063003063201904, 0), ('DAR', 9.833000183105469, 0), ('DIOD', 2.937999963760376, 0), ('DY', 3.1670000553131104, 0), ('PERY', 9.333333015441896, 0), ('HXL', 11.0, 0), ('IIVI', 2.094000101089477, 0), ('JBL', 1.6799999475479126, 0), ('MSCC', 3.25, 0), ('NAVB', 12.0, 0), ('PRKR', 102.5, 0), ('PLAB', 18.625, 0), ('PCYO', 1.562999963760376, 0), ('REGN', 14.875, 0), ('SMTC', 3.375, 0), ('BSRR', 6.0, 0), ('TER', 19.1879997253418, 0), ('TWX', 4.12830114364624, 0), ('VECO', 21.5, 0), ('VSEC', 2.5999999046325684, 0), ('WM', 21.0, 0), ('MTCH', 9.538990020751951, 0)]",100
1995-09-01,"[('ATVI', 1.2085000276565552, 0), ('ALKS', 3.687999963760376, 0), ('AMSWA', 7.234000205993652, 0), ('ANEN', 2.8340001106262207, 0), ('BIIB', 1.112689971923828, 0), ('BIOL', 12.733078956604004, 0), ('CAMP', 7.375, 0), ('CECE', 5.063000202178955, 0), ('CRUS', 54.5, 0), ('CSCO', 3.631999969482422, 0), ('COHU', 14.625, 0), ('COO', 4.5, 0), ('DAR', 9.75, 0), ('DIOD', 2.7406671047210693, 0), ('DY', 3.2219998836517334, 0), ('PERY', 8.333333015441895, 0), ('HXL', 11.625, 0), ('IIVI', 2.1875, 0), ('JBL', 1.6799999475479126, 0), ('MSCC', 3.125, 0), ('NAVB', 11.5, 0), ('PRKR', 98.75, 0), ('PLAB', 17.25, 0), ('PCYO', 2.0, 0), ('REGN', 15.5, 0), ('RCII', 6.099999904632568, 0), ('SMTC', 3.062999963760376, 0), ('BSRR', 5.0, 0), ('SSYS', 5.708499908447266, 0), ('TER', 18.6879997253418, 0), ('TWX', 4.114448070526123, 0), ('VECO', 23.875, 0), ('VSEC', 2.5, 0), ('WM', 19.5, 0), ('MTCH', 8.661179542541504, 0)]",100
