,holding
1995-01-02,[]
1995-01-09,[]
1995-01-16,[]
1995-01-23,[]
1995-01-30,[]
1995-02-06,[]
1995-02-13,[]
1995-02-20,[]
1995-02-27,[]
1995-03-06,[]
1995-03-13,[]
1995-03-20,[]
1995-03-27,[]
1995-04-03,[]
1995-04-10,[]
1995-04-17,[]
1995-04-24,[]
1995-05-01,[]
1995-05-08,[]
1995-05-15,[]
1995-05-22,[]
1995-05-29,[]
1995-06-05,[]
1995-06-12,[]
1995-06-19,[]
1995-06-26,[]
1995-07-03,[]
1995-07-10,[]
1995-07-17,[]
1995-07-24,[]
1995-07-31,[]
1995-08-07,[]
1995-08-14,[]
1995-08-21,[]
1995-08-28,[]
1995-09-04,[]
1995-09-11,[]
1995-09-18,[]
1995-09-25,[]
1995-10-02,[]
1995-10-09,[]
1995-10-16,[]
1995-10-23,[]
1995-10-30,[]
1995-11-06,[]
1995-11-13,[]
1995-11-20,[]
1995-11-27,[]
1995-12-04,[]
1995-12-11,[]
1995-12-18,[]
1995-12-25,[]
1996-01-01,[]
1996-01-08,[]
1996-01-15,[]
1996-01-22,[]
1996-01-29,[]
1996-02-05,[]
1996-02-12,[]
1996-02-19,[]
1996-02-26,[]
1996-03-04,[]
1996-03-11,[]
1996-03-18,[]
1996-03-25,[]
1996-04-01,[]
1996-04-08,[]
1996-04-15,[]
1996-04-22,[]
1996-04-29,[]
1996-05-06,[]
1996-05-13,[]
1996-05-20,[]
1996-05-27,[]
1996-06-03,[]
1996-06-10,[]
1996-06-17,[]
1996-06-24,[]
1996-07-01,[]
1996-07-08,[]
1996-07-15,[]
1996-07-22,[]
1996-07-29,[]
1996-08-05,[]
1996-08-12,[]
1996-08-19,[]
1996-08-26,[]
1996-09-02,[]
1996-09-09,[]
1996-09-16,[]
1996-09-23,[]
1996-09-30,[]
1996-10-07,[]
1996-10-14,[]
1996-10-21,[]
1996-10-28,[]
1996-11-04,[]
1996-11-11,[]
1996-11-18,[]
1996-11-25,[]
1996-12-02,[]
1996-12-09,[]
1996-12-16,[]
1996-12-23,[]
1996-12-30,[]
1997-01-06,[]
1997-01-13,[]
1997-01-20,[]
1997-01-27,[]
1997-02-03,[]
1997-02-10,[]
1997-02-17,[]
1997-02-24,[]
1997-03-03,[]
1997-03-10,[]
1997-03-17,[]
1997-03-24,[]
1997-03-31,[]
1997-04-07,[]
1997-04-14,[]
1997-04-21,[]
1997-04-28,[]
1997-05-05,[]
1997-05-12,[]
1997-05-19,[]
1997-05-26,[]
1997-06-02,[]
1997-06-09,[]
1997-06-16,[]
1997-06-23,[]
1997-06-30,[]
1997-07-07,[]
1997-07-14,[]
1997-07-21,[]
1997-07-28,[]
1997-08-04,[]
1997-08-11,[]
1997-08-18,[]
1997-08-25,[]
1997-09-01,[]
1997-09-08,[]
1997-09-15,[]
1997-09-22,[]
1997-09-29,[]
1997-10-06,[]
1997-10-13,[]
1997-10-20,[]
1997-10-27,[]
1997-11-03,[]
1997-11-10,[]
1997-11-17,[]
1997-11-24,[]
1997-12-01,[]
1997-12-08,[]
1997-12-15,[]
1997-12-22,[]
1997-12-29,[]
1998-01-05,[]
1998-01-12,[]
1998-01-19,[]
1998-01-26,[]
1998-02-02,[]
1998-02-09,[]
1998-02-16,[]
1998-02-23,[]
1998-03-02,[]
1998-03-09,[]
1998-03-16,[]
1998-03-23,[]
1998-03-30,[]
1998-04-06,[]
1998-04-13,[]
1998-04-20,[]
1998-04-27,[]
1998-05-04,[]
1998-05-11,[]
1998-05-18,[]
1998-05-25,[]
1998-06-01,[]
1998-06-08,[]
1998-06-15,[]
1998-06-22,[]
1998-06-29,[]
1998-07-06,[]
1998-07-13,[]
1998-07-20,[]
1998-07-27,[]
1998-08-03,[]
1998-08-10,[]
1998-08-17,[]
1998-08-24,[]
1998-08-31,[]
1998-09-07,[]
1998-09-14,[]
1998-09-21,[]
1998-09-28,[]
1998-10-05,[]
1998-10-12,[]
1998-10-19,[]
1998-10-26,[]
1998-11-02,[]
1998-11-09,[]
1998-11-16,[]
1998-11-23,[]
1998-11-30,[]
1998-12-07,[]
1998-12-14,[]
1998-12-21,[]
1998-12-28,[]
1999-01-04,[]
1999-01-11,[]
1999-01-18,[]
1999-01-25,[]
1999-02-01,[]
1999-02-08,[]
1999-02-15,[]
1999-02-22,[]
1999-03-01,[]
1999-03-08,[]
1999-03-15,[]
1999-03-22,[]
1999-03-29,[]
1999-04-05,[]
1999-04-12,[]
1999-04-19,[]
1999-04-26,[]
1999-05-03,[]
1999-05-10,[]
1999-05-17,[]
1999-05-24,[]
1999-05-31,[]
1999-06-07,[]
1999-06-14,[]
1999-06-21,[]
1999-06-28,[]
1999-07-05,[]
1999-07-12,[]
1999-07-19,[]
1999-07-26,"[('GILD', 2.421875, 0), ('LRCX', 18.458332061767578, 0)]"
1999-08-02,"[('GILD', 2.230468988418579, 0), ('LRCX', 18.520832061767578, 0), ('QCOM', 18.46875, 0)]"
1999-08-09,"[('GILD', 2.396483898162842, 0), ('LRCX', 19.854167938232422, 0), ('QCOM', 20.0, 0), ('XLNX', 36.78125, 0)]"
1999-08-16,"[('GILD', 2.550781011581421, 0), ('LRCX', 16.625, 0), ('QCOM', 21.8671875, 0), ('SWKS', 27.0, 0), ('XLNX', 36.5, 0)]"
1999-08-23,"[('GILD', 2.525391101837158, 0), ('LRCX', 18.583332061767578, 0), ('QCOM', 22.96875, 0), ('SWKS', 27.90625, 0), ('VRSN', 51.1875, 0), ('XLNX', 35.8125, 0)]"
1999-08-30,"[('AAPL', 0.65625, 0), ('GILD', 2.609375, 0), ('LRCX', 20.125, 0), ('QCOM', 20.421875, 0), ('QCOM', 20.421875, 0), ('SWKS', 28.28125, 0), ('VRSN', 54.625, 0), ('XLNX', 37.375, 0)]"
1999-09-06,"[('AAPL', 0.6914060115814209, 0), ('GILD', 2.625, 0), ('LRCX', 20.729167938232422, 0), ('QCOM', 20.7109375, 0), ('QCOM', 20.7109375, 0), ('SWKS', 28.25, 0), ('SWKS', 28.25, 0), ('VRSN', 56.1875, 0), ('XLNX', 35.46875, -1)]"
1999-09-13,"[('AAPL', 0.6869419813156128, 0), ('GILD', 2.476562976837158, 0), ('LRCX', 21.270832061767578, 0), ('QCOM', 23.7421875, 0), ('QCOM', 23.7421875, 0), ('SWKS', 27.15625, -1), ('SWKS', 27.15625, -1), ('VRSN', 55.125, 0)]"
1999-09-20,"[('AAPL', 0.5797989964485168, 0), ('AAPL', 0.5797989964485168, 0), ('GILD', 2.416016101837158, 0), ('LRCX', 19.25, 0), ('QCOM', 23.6875, 0), ('QCOM', 23.6875, 0), ('VRSN', 51.0625, 0)]"
1999-09-27,"[('AAPL', 0.5510600209236145, -1), ('AAPL', 0.5510600209236145, -1), ('GILD', 2.044922113418579, -1), ('LRCX', 21.604167938232422, 0), ('QCOM', 23.3515625, 0), ('QCOM', 23.3515625, 0), ('VRSN', 52.171875, 0)]"
1999-10-04,"[('DISH', 27.5, 0), ('LRCX', 22.520832061767578, 0), ('QCOM', 26.7421875, 0), ('QCOM', 26.7421875, 0), ('VRSN', 57.625, 0)]"
1999-10-11,"[('DISH', 24.40625, 0), ('LRCX', 24.645832061767578, 0), ('QCOM', 24.8125, 0), ('QCOM', 24.8125, 0), ('VRSN', 53.03125, 0)]"
1999-10-18,"[('CTSH', 0.9140629768371582, 0), ('DISH', 27.09375, 0), ('LRCX', 25.041667938232422, 0), ('QCOM', 26.96875, 0), ('QCOM', 26.96875, 0), ('VRSN', 56.0, 0)]"
1999-10-25,"[('CTSH', 0.9570310115814209, 0), ('DISH', 30.9375, 0), ('LRCX', 28.145832061767578, 0), ('QCOM', 27.84375, 0), ('QCOM', 27.84375, 0), ('VRSN', 61.75, 0)]"
1999-11-01,"[('CTSH', 1.140625, 0), ('DISH', 35.03125, 0), ('LRCX', 29.604167938232422, 0), ('ORCL', 14.671875, 0), ('QCOM', 36.796875, 0), ('QCOM', 36.796875, 0), ('VRSN', 80.765625, 0)]"
1999-11-08,"[('AAPL', 0.8091520071029663, 0), ('ABMD', 15.5625, 0), ('CTSH', 1.0833330154418945, 0), ('DISH', 35.9375, 0), ('LRCX', 30.875, 0), ('ORCL', 16.28125, 0), ('QCOM', 47.25, 0), ('QCOM', 47.25, 0), ('VRSN', 84.0, 0)]"
