Date,holding,total
1995-01-06,[],100
1995-01-13,[],100
1995-01-20,[],100
1995-01-27,[],100
1995-02-03,[],100
1995-02-10,[],100
1995-02-17,[],100
1995-02-24,[],100
1995-03-03,[],100
1995-03-10,[],100
1995-03-17,[],100
1995-03-24,[],100
1995-03-31,[],100
1995-04-07,[],100
1995-04-14,[],100
1995-04-21,[],100
1995-04-28,[],100
1995-05-05,[],100
1995-05-12,[],100
1995-05-19,[],100
1995-05-26,[],100
1995-06-02,[],100
1995-06-09,[],100
1995-06-16,[],100
1995-06-23,[],100
1995-06-30,[],100
1995-07-07,[],100
1995-07-14,[],100
1995-07-21,[],100
1995-07-28,[],100
1995-08-04,[],100
1995-08-11,"[('BIIB', 1.170719027519226, 85.4175917956179)]",100
1995-08-18,"[('BIIB', 1.170719027519226, 21.354397948904474), ('CSCO', 3.67300009727478, 6.8064250851909875), ('TER', 20.65699958801269, 1.2102435251297368), ('WM', 21.625, 1.1560693641618498)]",100
1995-08-25,"[('ATVI', 1.1769989728927612, 10.143565124204358), ('BIIB', 1.112689971923828, 10.72982235295698), ('CSCO', 3.562999963760376, 3.350818370500073), ('COO', 5.063003063201904, 2.35807989519742), ('MTCH', 9.538990020751951, 1.2515964170930354), ('REGN', 14.875, 0.8026195450527303), ('TER', 19.1879997253418, 0.6222100220739236), ('WM', 21.0, 0.5685221777456839)]",95
1995-09-01,"[('ATVI', 1.2085000276565552, 9.616667511904843), ('BIIB', 1.112689971923828, 10.444726965595853), ('CSCO', 3.631999969482422, 3.199819122178312), ('COO', 4.5, 2.5826095453557554), ('MTCH', 8.661179542541504, 1.341819886889293), ('REGN', 15.5, 0.7497898680065096), ('TER', 18.6879997253418, 0.6218826586529361), ('WM', 19.5, 0.5959868181590204)]",92
1995-09-08,"[('ATVI', 1.5314990282058716, 7.139591821662973), ('BIIB', 1.094267964363098, 9.992322075358901), ('CSCO', 3.910000085830689, 2.796490459498396), ('MTCH', 8.539891242980957, 1.280376719744581), ('NVR', 11.125, 0.9828564437450276), ('REGN', 15.75, 0.6942398689945035), ('STE', 18.4379997253418, 0.5930295096834716), ('TER', 20.3129997253418, 0.5382896708762419), ('WM', 20.5, 0.5333794115445576)]",98
1995-09-15,"[('ATVI', 1.4999990463256836, 7.035201633701681), ('BIIB', 1.3051999807357788, 8.08519452728807), ('CSCO', 3.848000049591065, 2.742410500328055), ('MTCH', 8.388936996459961, 1.2579419473187814), ('NVR', 10.0, 1.0552795741261414), ('REGN', 12.5, 0.844223659300913), ('STE', 18.25, 0.5782353830828172), ('TER', 18.4379997253418, 0.5723395107093585), ('WM', 19.625, 0.5377220759878427)]",94
1995-09-22,"[('ATVI', 1.4999990463256836, 7.194648254409721), ('BIIB', 1.2665139436721802, 8.521000162834905), ('CSCO', 3.924000024795532, 2.75024603773433), ('MTCH', 8.539891242980957, 1.2637122901457762), ('NVR', 9.875, 1.092857267874767), ('REGN', 15.125, 0.7135183815050132), ('STE', 19.25, 0.5606215854682247), ('TER', 17.75, 0.607998057479624), ('WM', 19.25, 0.5606215854682247)]",97
1995-09-29,"[('ATVI', 1.3224999904632568, 7.2411472083107045), ('BIIB', 1.2094049453735352, 7.918288370299484), ('CSCO', 3.8340001106262207, 2.497761303499231), ('HOLX', 2.875, 3.3309276918031117), ('MTCH', 7.842706203460693, 1.221060290350827), ('NVR', 9.75, 0.9821966270701483), ('REGN', 15.625, 0.6128906952917725), ('STE', 21.0629997253418, 0.45465590081227353), ('TER', 18.0, 0.5320231729963303), ('WM', 19.5, 0.49109831353507416)]",95
1995-10-06,"[('ATVI', 1.2920000553131104, 8.021324057894903), ('BIIB', 1.1513760089874268, 9.00101360944526), ('CSCO', 3.7260000705718994, 2.7814146350496194), ('HOLX', 2.844000101089477, 3.644005189210273), ('MTCH', 8.267648696899414, 1.253506469181643), ('NVR', 9.625, 1.0767325845698281), ('REGN', 14.5, 0.7147276638954894), ('STE', 19.5, 0.5314641603325434), ('WM', 20.375, 0.5086405460851335)]",93
1995-10-13,"[('ATVI', 1.2395000457763672, 8.65126503292571), ('BIIB', 1.3816510438919067, 7.761180691565297), ('CSCO', 3.9170000553131104, 2.7376163525424633), ('HOLX', 3.3285000324249268, 3.221644374304738), ('MTCH', 7.994532108306885, 1.3413222011070158), ('NVR', 9.625, 1.11410321083999), ('REGN', 14.0, 0.765945957452493), ('STE', 19.0, 0.5643812318071002), ('WM', 20.875, 0.5136883067944864)]",96
1995-10-20,"[('ATVI', 1.4479990005493164, 7.652830676037077), ('BIIB', 1.6506129503250122, 6.713440099990059), ('CSCO', 4.24399995803833, 2.6110488406783237), ('HOLX', 3.375, 3.2833455319332847), ('MTCH', 7.873246192932129, 1.4074615347634618), ('NVR', 9.75, 1.1365426841307524), ('REGN', 13.125, 0.844288851068559), ('STE', 17.875, 0.6199323731622286), ('WM', 20.125, 0.5506231637403646)]",99
